asn,name,country
2697,ERX-ERNET-AS Education and Research Network,IN
3969,ERX-STPHNET Software Technology Park,IN
4758,NICNET-VSNL-BOARDER-AP National Informatics Centre,IN
4797,WSM-AS-IN Wipro Spectramind Services Pvt Ltd BPO -INDIA,IN
7494,POWERNET-AS-AP POWERNET,IN
7593,TRIJITNET-GDC TRIJIT TECHNOLOGIES PVT. LTD.,IN
9223,INDUS-TOWERS Spreaded across 35 locations in india,IN
9238,TATA-AS TATA ISP,IN
9396,TIKONAIN-AS Tikona Infinet Ltd.,IN
9430,"STPI-NOIDA Software Technology Parks of India,Block-IV",IN
9498,BBIL-AP BHARTI Airtel Ltd.,IN
9540,VELOCIXLIMITED-AS-AP VELOCIX LIMITED,IN
9558,PRIMECROWN-AS-IN PrimeCrown Technologies Private Limited,IN
9583,SIFY-AS-IN Sify Limited,IN
9653,SUNPHARMA59-IN Acme Plaza,IN
9666,ASAPL-AS-AP AUTONOMY SOFTWARE ASIA PRIVATE LIMITED,IN
9730,BHARTITELESONIC-AS-IN-AP Bharti Telesonic Ltd,IN
9752,FKNET-IN Flipkart Internet Pvt Ltd,IN
9796,WIPRO Internet Service Providers,IN
9829,BSNL-NIB National Internet Backbone,IN
9830,SWIFTONLINE-AS-AP SWIFT ONLINE BORDER AS,IN
9885,NKN-INTERNET-GW NKN INTERNET GATEWAY NETWORK,IN
9941,RANBAXY-IN-AS Ranbaxy Laboratories Limited,IN
10029,SHYAMSPECTRA-AS SHYAM SPECTRA PVT LTD,IN
10077,TIKONAIN-AS Tikona Infinet Ltd.,IN
10123,FLYTXT-AS-AP Flytxt Mobile Solutions Pvt Ltd,IN
10125,IGT-AS-AP IGT SOLUTIONS PRIVATE LIMITED,IN
10199,TATA-AS Tata Communications Ltd,IN
10201,DWL-AS-IN Dishnet Wireless Limited. Broadband Wireless,IN
10225,NETTLINX-IN-AP Nettlinx Limited,IN
10239,CMAX-AS Comsat Max ISP,IN
17423,SUREPREP-AS-AP Sureprep AS,IN
17426,PRIMENET-AS-AP Primesoftex Ltd,IN
17439,NETMAGIC-AP Netmagic Datacenter Mumbai,IN
17443,KARUTURI-IN Karuturi Telecom Pvt Ltd,IN
17446,STI-IN Synchronoss Technologies India Private Limited,IN
17447,NET4-IN Net4India Ltd,IN
17453,CYQ-AS AUTONOMOUS SYTEM FOR MUMBAI-IDC,IN
17465,ASIANET Cable ISP in India,IN
17483,CITYON-AS-AP CityOnline Services Ltd,IN
17488,HATHWAY-NET-AP Hathway IP Over Cable Internet,IN
17495,GATEWAY-AP BROADBAND WIRELESSS INTERNET SERVICE PROVIDER,IN
17566,STI-IN Synchronoss Technologies India Private Limited,IN
17625,BLAZENET-IN-AP BlazeNets Network,IN
17648,HECL-AS Hughes Communications India Private Limited,IN
17665,ONEBROADBAND ONEOTT INTERTAINMENT LIMITED,IN
17729,BTDPL-AS-AP Balaji Teleworks Development Pvt Ltd,IN
17747,SITINETWORS-IN-AP SITI NETWORKS LIMITED,IN
17748,AFFINITY-IN-AP ASN in India,IN
17753,DATAINGENIOUS-AS-AP DATA INGENIOUS GLOBAL LIMITED,IN
17754,EXCELL-AS Excellmedia,IN
17762,HTIL-TTML-IN-AP Tata Teleservices Maharashtra Ltd,IN
17771,SOUTHONLINE-AS-AP Southern Online Bio Technologies Ltd,IN
17783,SRILRPG-AS SRIL RPG Autonomous System,IN
17786,HSBC-IN-AS HSBC India,IN
17803,RELIANCE-AS-IN Reliance Communication Ltd,IN
17813,MTNL-AP Mahanagar Telephone Nigam Limited,IN
17820,DIL-AP DIRECT INTERNET LTD.,IN
17891,WNPL-AS Worldgate Networks Pvt. Ltd.,IN
17908,TCISL Tata Communications,IN
17912,EPAM-AS-AP EPAM SYSTEMS INDIA PRIVATE LIMITED,IN
17913,GIPLNET-AP Guj Info Petro Limited,IN
17917,QTLTELECOM-AS-AP Quadrant Televentures Limited,IN
18002,WORLDPHONE-IN AS Number for Interdomain Routing,IN
18008,QUATRRO Quatrro Network Border AS,IN
18061,WORLDCOM-INDIA WorldCom Communications India,IN
18105,KARUTURI-IN Karuturi Telecom Pvt Ltd,IN
18166,STL-AS-AP STERLITE TECHNOLOGIES LTD,IN
18167,HCL-TECH-IN HCL Technologies Ltd,IN
18196,SEVENSTAR-AS Seven Star Internet Service Provider,IN
18207,YOU-INDIA-AP YOU Broadband &amp; Cable India Ltd.,IN
18209,BEAMTELE-AS-AP Atria Convergence Technologies pvt ltd,IN
18211,NOMURAINDIA-AS-AP Nomura India Services Pvt Ltd,IN
18225,SOFTCELL-AP SOFTCELL TECHNOLOGIES GLOBAL PRIVATE LIMITED,IN
18229,CTRLS-AS-IN CtrlS,IN
23664,WIPRO-TECH-AS-AP Wipro Technologies,IN
23682,PACENET-AS Broadband Pacenet Pvt. Ltd,IN
23726,IIFON-AS-AP India Internet Foundation,IN
23770,NCBS-IN Tata Institute of Fundamental Research,IN
23772,ORTELNET-AS Ms Ortel Communications Ltd,IN
23870,BHARTI-AS-AP Bharti Airtel Limited,IN
23872,DELDSLCORE-AS-AP delDSL Internet Pvt. Ltd.,IN
23903,AKAMAI-AS-BANGLORE Akamai Banglore Office ASN,IN
23957,SPECTRUM-AS-IN Spectrum Softtech Solutions P Ltd.,IN
23984,CONDUENTIND-AS-AP CONDUENT BUSINESS SERVICES INDIA LLP,IN
24029,NIXI-IN-AS NIXI is an IXP in India,IN
24055,DB-APAC-IN-AS Deutsche Bank AG-India Internet AS,IN
24109,WNSNET WNS Global Services,IN
24118,NTT-IN-AS-AP-1 NTT GLOBAL NETWORKS PRIVATE LIMITED,IN
24127,IENERGIZER-AS-IN iEnergizer,IN
24178,GODREJ-AS-IN Godrej Infotech limited,IN
24185,ORACLEV6-OFSS-1 Oracle Corporation,IN
24186,RAILTEL-AS-IN RailTel Corporation of India Ltd,IN
24193,SIFY-IN Sify Limited Service Provider India,IN
24216,NTT-IN-AS-AP-2 Mumbai,IN
24332,LASIND-AS-AP Lason Inc,IN
24374,HCLBPO-SERVICES HCLBPO-,IN
24397,STPI-LUCKNOW Software Technology Parks of India-Lucknow,IN
24448,NDSINDIA-AS Synamedia Technologies India Private Limited,IN
24457,DE-CIX-AS-AP DE-CIX Delhi Internet Exchange,IN
24470,DE-CIX-AS-AP DE-CIX Chennai Internet Exchange,IN
24471,GLOBAL-UST-AS-IN USsoftware P Ltd.,IN
24485,GSPC-IN-AS Gujarat State Petroleum Corporation,IN
24501,MAJOREL-AS-AP MAJOREL INDIA PRIVATE LIMITED,IN
24508,DE-CIX-AS-AP DE-CIX Kolkata Internet Exchange,IN
24515,STPI-JAIPUR Software Technology Parks of India-Jaipur,IN
24539,SYNOPSYS-INDC-AS Synopsys Inc.,IN
24554,AS-FIVE-NET-IN Five Network Solution India Ltd,IN
24571,NTT-IN-AS-AP-5 Bangalore,IN
35672,LOURO,IN
37934,ARTECHINFO-AS-IN Artech Infosystems Pvt Ltd,IN
37986,TULIP Tulip Telecom Ltd.,IN
38000,CRISIL-AS [CRISIL Limited.Autonomous System],IN
38053,NEESATECH-AS-AP Neesa Technologies Pvt. Ltd.,IN
38058,AMDOCSDVCI-AS-IN AMDOCS DEVELOPMENT CENTRE INDIA LLP,IN
38139,MPHASISNET-AS MphasiS Ltd.,IN
38188,CNX-IN Concentrix BPO Pvt Ltd,IN
38191,INFOSYS-AS Infosys Technologies Ltd,IN
38204,ALNET-IN-AS-AP Ashok leyland Ltd,IN
38205,QUADRANT-AS-AP Plot 248,IN
38207,RAJESHNET-TRANSIT-AS-AP Rajesh Multi Channel Pvt Ltd.,IN
38219,SKODAAUTOINDIA-AS-AP Skoda Auto India Pvt.Ltd.,IN
38224,REDIFF-AS Rediff.com India Limited,IN
38241,HITECH-AS-AP HI-TECH ISOLUTIONS LLP,IN
38261,PUNJLLOYD-AS PUNJ LLOYD LIMITED,IN
38266,VIL-AS-AP Vodafone Idea Ltd,IN
38271,CSSL-APNIC-2008-IN CyberTech House,IN
38306,FISERVIN-ASN-IN FISERV,IN
38310,ICAN-AS-AP iCan Solutions Pvt. Ltd. AS,IN
38314,RSIL-AS-IN R Systems International LTD,IN
38457,HNS-AS-AP Honesty Net Solution I Pvt Ltd,IN
38468,YESBANK-IN ASN for YESBANK,IN
38476,GATI-AS-IN GATI,IN
38536,STPI-DEHRADUN Software Technology Parks of India,IN
38538,ORACLE-BANGALORE-AS-AP Oracle India Developement Centre.,IN
38546,CONJOINIX-AS CONJOINIX TECHNOLOGIES PVT. LTD.,IN
38571,SBS-ISP-AS Star Broadband Services,IN
38573,VIRTUSA-IN-AS Virtusa Global AS,IN
38615,SAFENET-IN Safenet Infotech Pvt. Ltd.,IN
38617,NETMAGIC-AP Netmagic Datacenter Mumbai,IN
38620,RSMANI-NKN-AS-AP National Knowledge Network,IN
38625,CJONLINE CJONLINE ISP India,IN
38720,MBTNET-AS-AP Tech Mahindra Limited,IN
38746,MBTNET-IN Tech Mahindra Limited,IN
38810,CAIRNINDIA-AS-IN CAIRNENERGY INDIA PTY LTD,IN
38857,ESOFT-TRANSIT-AS-AP e.Soft Technologies Ltd.,IN
38874,KARVY-IN-AS-HYD KARVY CONSULTANTS LTD.,IN
38902,GLOBALLOGIC-IN GlobalLogic India Ltd.,IN
39486,HOSTROYALE,IN
43027,PRIMECROWN-EU,IN
44144,OMEGASOFT,IN
44331,GROOTOP,IN
45117,INPL-IN-AP Ishans Network,IN
45150,MPHASIS-BGM-AS Mphasis Ltd,IN
45154,APPNOMIC-AS-AP Appnomic Systems Pvt Ltd,IN
45189,SYSTEM3-NET-IN INDIAS ONLY CARRIER NEUTRAL DATA CENTRE,IN
45194,SIPL-AS Syscon Infoway Pvt. Ltd.,IN
45202,TCGLSINET-IN Block - BNPlot - 7Sector - V,IN
45232,SISPL-AS-AP Spacenet Internet Services Pvt. Ltd.,IN
45235,GEONET GEOCITY NETWORK SOLUTIONS PVT LTD,IN
45271,ICLNET-AS-AP Idea Cellular Limited,IN
45272,HEXNET-AS-AP Hexaware Technologies Limited,IN
45284,WLSNET-AS-AP Wireline Solution India Pvt Ltd.,IN
45334,AIRCEL-AS-AP Dishnet Wireless Limited,IN
45335,IKF-IN-AS-AP IKF POWERNET,IN
45340,BMS-BNG-AS-AP B.M.S College Of Engineering,IN
45350,HCCBPL-AS Hindustan Coca-Cola Beverages Pvt Ltd,IN
45415,VASAICABLEPVTLTD-AS-IN Vasai Cable Pvt. Ltd.,IN
45432,MBTNET-IN Tech Mahindra Limited,IN
45433,KISPL-AS-IN Kappa Internet Services Private Limited,IN
45469,ELECON-IN Elecon Information Technology Ltd,IN
45487,KROLNET Krishna Raghava Online Pvt Ltd,IN
45513,SAME-AS-IN Samespace India Pvt. Ltd.,IN
45518,IVY-AS-AP Ivy Comptech Pvt Ltd,IN
45519,UGAM-SOLUTIONS-AS-AP UGAM SOLUTIONS PVT LTD,IN
45525,MBL-AS-AP MACAWBER BEEKAY PVT LTD,IN
45526,UGAM-SOLUTIONS-AS-AP UGAM SOLUTIONS PVT LTD,IN
45528,TIKONAIN-AS Tikona Infinet Ltd.,IN
45535,AXP-NET-AS-AP American Express Banking Corp.,IN
45536,READYLINK-AS-AP Readylink Internet Services Limited,IN
45573,HSBC-GR-IN-AS-AP HSBC EDPI Pvt Ltd.,IN
45574,HSBC-GR-AS-AP HSBC EDPI Pvt Ltd.,IN
45596,CRIS-ND-21-IN Centre For Railway Information Systems,IN
45624,NOMURAINDIA-IN 10th FloorWinchester House,IN
45625,LTITL-AS-AP LTIMINDTREE LIMITED,IN
45644,SBI-EMS-NET-IN IT-Networking Department,IN
45649,DSTWS-IN DST Worldwide Services,IN
45655,PSL-IN Polaris Consulting &amp; Services Limited,IN
45660,FINO-IN Internet Content Provider,IN
45661,CAPTURE-AP Capture Network Systems Pvt Ltd,IN
45694,VBCBROADBAND-AS-IN VIZAG BROADCASTING COMPANY PVT. LTD,IN
45742,CYIENT-IN Cyient Limited,IN
45747,OMLOGISTIC-AS-IN OM Logistics Limited,IN
45749,AMADEUS-AS-AP Amadeus India,IN
45760,IDFC-IN Infrastrsture development finance company.,IN
45769,DVOIS-IN D-Vois Broadband Pvt Ltd,IN
45775,WISHNET-AS-AP WISH NET PRIVATE LIMITED,IN
45801,AHSPL-NET-IN Accretive Health Services Pvt Ltd,IN
45804,MEGHBELA-IN MEGHBELA BROADBAND,IN
45815,HOSTCOIN-AS-IN-AP ESDS Software Solution Limited.,IN
45820,TTSL-MEISISP Tata Teleservices ISP AS,IN
45825,LISTER-TECHNOLOGIES Lister Technologies P Ltd.,IN
45829,RELIANCE-MEN-AS-IN RELIANCE-MEN-AS-,IN
45830,"ATUL-MAIN-AS-IN Atul Limited,India",IN
45854,EBIX-AS-AP EBIX CASH MOBILITY SOFTWARE INDIA LIMITED,IN
45859,CITYCOMNETWORKS-IN Citycom Networks Pvt. Ltd.,IN
45885,OBSITPLNET-IN Orange Business Services India Technology,IN
45916,GTPL-AS-AP Gujarat Telelink Pvt Ltd,IN
45927,SCCL-123-IN THE SINGARENI COLLIERIES COMPANY LIMITED,IN
45942,SIKKANET-AS-AP Sikka Broadband Pvt. Ltd.,IN
45944,ADYA-TECH-AS-AP Adya Tech-One Services Pvt. Ltd.,IN
45954,SPEEDONLINE-AS-AP SpeedOnline.Net.Pvt.Ltd.,IN
45955,PHILLIPCAPTIAL-IN PhillipCapital India Private Limited,IN
46068,ZENSAR-TECH-09-AS-AP Zensar Technologies Ltd,IN
46071,PIONEER-CDN-AS-IN Pioneer Elabs Ltd.,IN
49378,BG-EXTREME,IN
55333,"TATA-2-NET-IN EL6,TTC Industrial Area,Electronics Zone",IN
