ipv4,asn
1.6.0.0/22,9583
1.6.1.0/24,9583
1.6.2.0/24,9583
1.6.4.0/22,9583
1.6.6.0/24,9583
1.6.7.0/24,9583
1.6.8.0/22,9583
1.6.9.0/24,9583
1.6.10.0/24,9583
1.6.11.0/24,9583
1.6.12.0/22,9583
1.6.16.0/22,9583
1.6.20.0/22,9583
1.6.24.0/22,9583
1.6.28.0/22,9583
1.6.31.0/24,9583
1.6.32.0/22,9583
1.6.36.0/22,9583
1.6.40.0/22,9583
1.6.42.0/24,9583
1.6.44.0/22,9583
1.6.46.0/24,9583
1.6.48.0/22,9583
1.6.50.0/24,9583
1.6.52.0/22,9583
1.6.54.0/24,9583
1.6.56.0/22,9583
1.6.59.0/24,9583
1.6.60.0/22,9583
1.6.60.0/24,9583
1.6.64.0/22,9583
1.6.65.0/24,9583
1.6.66.0/24,9583
1.6.67.0/24,9583
1.6.68.0/22,9583
1.6.69.0/24,9583
1.6.70.0/24,9583
1.6.72.0/22,9583
1.6.72.0/24,9583
1.6.73.0/24,9583
1.6.74.0/24,9583
1.6.75.0/24,9583
1.6.76.0/22,9583
1.6.80.0/22,9583
1.6.82.0/24,9583
1.6.84.0/22,9583
1.6.88.0/22,9583
1.6.89.0/24,9583
1.6.92.0/22,9583
1.6.92.0/24,9583
1.6.93.0/24,9583
1.6.95.0/24,9583
1.6.96.0/22,9583
1.6.99.0/24,9583
1.6.100.0/22,9583
1.6.104.0/22,9583
1.6.104.0/24,9583
1.6.108.0/22,9583
1.6.112.0/22,9583
1.6.116.0/22,9583
1.6.118.0/24,9583
1.6.120.0/22,9583
1.6.124.0/22,9583
1.6.128.0/22,9583
1.6.128.0/24,9583
1.6.130.0/24,9583
1.6.132.0/23,9583
1.6.132.0/24,9583
1.6.134.0/23,9583
1.6.136.0/22,9583
1.6.136.0/24,132215
1.6.138.0/24,9583
1.6.139.0/24,9583
1.6.140.0/22,9583
1.6.144.0/22,9583
1.6.144.0/24,9583
1.6.146.0/24,9583
1.6.147.0/24,9583
1.6.148.0/22,9583
1.6.152.0/22,9583
1.6.156.0/22,9583
1.6.156.0/24,9583
1.6.160.0/22,9583
1.6.161.0/24,9583
1.6.163.0/24,9583
1.6.164.0/22,9583
1.6.165.0/24,9583
1.6.166.0/24,9583
1.6.167.0/24,9583
1.6.168.0/22,9583
1.6.168.0/24,9583
1.6.169.0/24,9583
1.6.172.0/22,9583
1.6.172.0/24,9583
1.6.176.0/22,9583
1.6.177.0/24,9583
1.6.180.0/22,9583
1.6.184.0/22,9583
1.6.187.0/24,9583
1.6.188.0/22,9583
1.6.188.0/24,9583
1.6.191.0/24,9583
1.6.192.0/22,9583
1.6.194.0/24,9583
1.6.195.0/24,9583
1.6.196.0/22,9583
1.6.197.0/24,9583
1.6.198.0/24,9583
1.6.199.0/24,9583
1.6.200.0/22,9583
1.6.200.0/24,9583
1.6.201.0/24,9583
1.6.204.0/22,9583
1.6.204.0/24,9583
1.6.205.0/24,9583
1.6.208.0/22,9583
1.6.208.0/24,9583
1.6.211.0/24,9583
1.6.212.0/22,9583
1.6.212.0/24,9583
1.6.213.0/24,9583
1.6.216.0/22,9583
1.6.218.0/24,9583
1.6.219.0/24,137130
1.6.220.0/22,9583
1.6.220.0/24,9583
1.6.224.0/22,9583
1.6.226.0/24,132215
1.6.227.0/24,132215
1.6.228.0/22,9583
1.6.228.0/24,132215
1.6.232.0/22,9583
1.6.236.0/22,9583
1.6.240.0/22,9583
1.6.244.0/22,9583
1.6.248.0/22,9583
1.6.252.0/22,9583
1.7.0.0/24,9583
1.7.8.0/21,9583
1.7.16.0/21,9583
1.7.128.0/22,9583
1.7.132.0/22,9583
1.7.136.0/22,9583
1.7.140.0/22,9583
1.7.140.0/24,9583
1.7.141.0/24,9583
1.7.142.0/24,132215
1.7.143.0/24,9583
1.7.144.0/22,9583
1.7.148.0/22,9583
1.7.150.0/24,9583
1.7.151.0/24,132215
1.7.152.0/22,9583
1.7.152.0/24,9583
1.7.153.0/24,9583
1.7.156.0/22,9583
1.7.160.0/22,9583
1.7.160.0/24,9583
1.7.161.0/24,132215
1.7.162.0/24,132215
1.7.163.0/24,9583
1.7.164.0/22,9583
1.7.164.0/24,9583
1.7.165.0/24,9583
1.7.167.0/24,9583
1.7.168.0/22,9583
1.7.172.0/22,9583
1.7.176.0/22,9583
1.7.176.0/24,9583
1.7.177.0/24,9583
1.7.178.0/24,137130
1.7.180.0/22,9583
1.7.180.0/24,132215
1.7.182.0/24,9583
1.7.184.0/22,9583
1.7.185.0/24,9583
1.7.188.0/22,9583
1.7.191.0/24,137130
1.7.192.0/22,9583
1.7.192.0/24,9583
1.7.193.0/24,9583
1.7.194.0/24,9583
1.7.196.0/22,9583
1.7.198.0/24,9583
1.7.199.0/24,9583
1.7.200.0/24,132215
1.7.201.0/24,132215
1.7.202.0/24,132215
1.7.204.0/22,9583
1.7.205.0/24,140202
1.7.208.0/22,9583
1.7.210.0/24,9583
1.7.212.0/22,9583
1.7.216.0/22,9583
1.7.216.0/24,9583
1.7.218.0/24,9583
1.7.220.0/22,9583
1.7.224.0/22,9583
1.7.228.0/24,9583
1.7.230.0/24,9583
1.7.231.0/24,9583
1.7.232.0/22,9583
1.7.236.0/22,9583
1.7.237.0/24,9583
1.7.240.0/22,9583
1.7.244.0/23,9583
1.10.10.0/24,148000
